12c00000-13580000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
72e98000-72e99000 r--p 00005000 fd:06 29834744                           /system/framework/arm64/boot-hwPartMdm.oat
72e99000-72e9a000 rw-p 00006000 fd:06 29834744                           /system/framework/arm64/boot-hwPartMdm.oat
72e9a000-72e9c000 r--p 00000000 fd:06 29793784                           /system/framework/arm64/boot-hwPartVr.oat
72e9c000-72e9d000 r--s 00000000 fd:06 29786107                           /system/framework/boot-hwPartVr.vdex
72e9d000-72e9e000 r--p 00002000 fd:06 29793784                           /system/framework/arm64/boot-hwPartVr.oat
72e9e000-72e9f000 rw-p 00003000 fd:06 29793784                           /system/framework/arm64/boot-hwPartVr.oat
72e9f000-72ecf000 r--p 00000000 fd:06 29846375                           /system/framework/arm64/boot-hwframework.oat
72ecf000-72f4f000 r-xp 00030000 fd:06 29846375                           /system/framework/arm64/boot-hwframework.oat
72f4f000-72f50000 rw-p 00000000 00:00 0                                  [anon:.bss]
72f50000-72f52000 r--s 00000000 fd:06 29840228                           /system/framework/boot-hwframework.vdex
72f52000-72f53000 r--p 000b0000 fd:06 29846375                           /system/framework/arm64/boot-hwframework.oat
72f53000-72f54000 rw-p 000b1000 fd:06 29846375                           /system/framework/arm64/boot-hwframework.oat
72f54000-72f59000 r--p 00000000 fd:06 29524969                           /system/framework/arm64/boot-com.huawei.nfc.oat
72f59000-72f62000 r-xp 00005000 fd:06 29524969                           /system/framework/arm64/boot-com.huawei.nfc.oat
72f62000-72f63000 rw-p 00000000 00:00 0                                  [anon:.bss]
72f63000-72f64000 r--s 00000000 fd:06 29760614                           /system/framework/boot-com.huawei.nfc.vdex
72f64000-72f65000 r--p 0000e000 fd:06 29524969                           /system/framework/arm64/boot-com.huawei.nfc.oat
72f65000-72f66000 rw-p 0000f000 fd:06 29524969                           /system/framework/arm64/boot-com.huawei.nfc.oat
72f66000-72f68000 r--p 00000000 fd:06 29856877                           /system/framework/arm64/boot-org.ifaa.android.manager.oat
